Date,Open,High,Low,Close,Volume,SMA
1995-01-30,2.111111,2.117284,2.055556,2.061728,44440000,2.1274691
1995-01-31,2.074074,2.12963,2.061728,2.104938,37908400,2.1268518
1995-02-01,2.12963,2.141975,2.080247,2.092592,24384400,2.12469125
1995-02-02,2.092592,2.123457,2.080247,2.117284,24165600,2.1259258500000002
1995-02-03,2.135803,2.197531,2.123457,2.172839,53942800,2.1287036
1995-02-06,2.172839,2.203704,2.160494,2.194444,24818800,2.1294752
1995-02-07,2.197531,2.203704,2.160494,2.191358,18529600,2.12978385
1995-02-08,2.197531,2.203704,2.154321,2.166667,26293200,2.1320987000000002
1995-02-09,2.185185,2.216049,2.148148,2.148148,48528000,2.1342592000000002
1995-02-10,2.160494,2.203704,2.148148,2.185185,36315600,2.1395061
1995-02-13,2.191358,2.240741,2.172839,2.197531,33372400,2.1459875999999998
1995-02-14,2.216049,2.228395,2.160494,2.179012,28029600,2.14783945
1995-02-15,2.185185,2.259259,2.185185,2.259259,44546800,2.15401225
1995-02-16,2.259259,2.283951,2.234568,2.277778,45473200,2.1574073
1995-02-17,2.271605,2.277778,2.246914,2.253086,20790000,2.16157395
1995-02-21,2.271605,2.296296,2.259259,2.277778,27059200,2.16929
1995-02-22,2.265432,2.333333,2.253086,2.327161,40435200,2.17978385
1995-02-23,2.351852,2.37963,2.296296,2.324074,42390400,2.1879628500000003
1995-02-24,2.324074,2.324074,2.25,2.259259,34297600,2.1950616000000003
1995-02-27,2.268518,2.333333,2.25,2.25,31061200,2.2020060500000005
1995-02-28,2.277778,2.333333,2.25,2.324074,23047200,2.21512335
1995-03-01,2.342592,2.351852,2.305556,2.314815,24346800,2.2256172000000003
1995-03-02,2.333333,2.342592,2.277778,2.342592,14650000,2.2381172
1995-03-03,2.342592,2.444444,2.314815,2.435185,44342800,2.25401225
1995-03-06,2.416667,2.425926,2.361111,2.407408,27613600,2.2657407
1995-03-07,2.398148,2.425926,2.37037,2.388889,30264000,2.27546295
1995-03-08,2.388889,2.407408,2.37963,2.407408,17985600,2.28626545
1995-03-09,2.416667,2.444444,2.388889,2.425926,45533200,2.2992284
1995-03-10,2.416667,2.444444,2.407408,2.444444,26088000,2.3140432
1995-03-13,2.453704,2.490741,2.444444,2.453704,30138000,2.3274691499999998
1995-03-14,2.490741,2.509259,2.462963,2.462963,24872800,2.34074075
1995-03-15,2.481482,2.481482,2.416667,2.425926,24435600,2.35308645
1995-03-16,2.425926,2.462963,2.425926,2.462963,19735200,2.36327165
1995-03-17,2.472222,2.5,2.444444,2.472222,29170800,2.37299385
1995-03-20,2.481482,2.564815,2.453704,2.490741,20464000,2.3848766
1995-03-21,2.527778,2.564815,2.469904,2.537037,46642000,2.3978395499999996
1995-03-22,2.453704,2.472222,2.416667,2.444444,87223200,2.4037037
1995-03-23,2.453704,2.453704,2.333333,2.361111,53838000,2.40555555
1995-03-24,2.361111,2.407408,2.342592,2.37963,59328000,2.4115741
1995-03-27,2.37963,2.407408,2.361111,2.398148,55688400,2.4189815
1995-03-28,2.398148,2.425926,2.37963,2.425926,43761600,2.4240741
1995-03-29,2.425926,2.453704,2.333333,2.37037,42786400,2.42685185
1995-03-30,2.388889,2.398148,2.287037,2.324074,42184800,2.42592595
1995-03-31,2.277778,2.361111,2.268518,2.314815,21330400,2.4199074499999997
1995-04-03,2.305556,2.398148,2.287037,2.37963,34187200,2.41851855
1995-04-04,2.333333,2.462963,2.296296,2.333333,62237200,2.4157407500000003
1995-04-05,2.333333,2.333333,2.277778,2.314815,42781200,2.4111111
1995-04-06,2.296296,2.314815,2.166667,2.175926,51303600,2.3986111
1995-04-07,2.222222,2.305556,2.203704,2.268518,74368800,2.3898148
1995-04-10,2.259259,2.277778,2.231482,2.268518,33039600,2.3805555000000003
1995-04-11,2.296296,2.305556,2.277778,2.305556,27496800,2.3726851499999997
1995-04-12,2.333333,2.37963,2.314815,2.37037,20217600,2.36990735
1995-04-13,2.388889,2.416667,2.314815,2.37037,23033200,2.3652777
1995-04-17,2.37963,2.388889,2.305556,2.310185,35958400,2.35717585
1995-04-18,2.324074,2.342592,2.268518,2.287037,38097600,2.34699065
1995-04-19,2.277778,2.287037,2.194444,2.240741,52083600,2.33217585
1995-04-20,2.259259,2.277778,2.194444,2.212963,34000800,2.3206017999999995
1995-04-21,2.222222,2.231482,2.203704,2.222222,62858400,2.31365735
1995-04-24,2.231482,2.268518,2.203704,2.25463,55102000,2.3074073499999996
1995-04-25,2.259259,2.287037,2.194444,2.203704,56012400,2.29768515
1995-04-26,2.203704,2.222222,2.138889,2.148148,53532400,2.28379625
1995-04-27,2.148148,2.361111,2.074074,2.314815,150139600,2.2810185
1995-04-28,2.324074,2.351852,2.222222,2.259259,66034800,2.27777775
1995-05-01,2.268518,2.277778,2.212963,2.226852,49532400,2.2733796
1995-05-02,2.231482,2.231482,2.203704,2.208333,43858800,2.26481475
1995-05-03,2.222222,2.37037,2.212963,2.333333,91555200,2.26481475
1995-05-04,2.361111,2.416667,2.277778,2.277778,68866000,2.2629629
1995-05-05,2.314815,2.333333,2.259259,2.268518,30326800,2.2675925
1995-05-08,2.287037,2.319444,2.268518,2.287037,24262000,2.2685184499999997
1995-05-09,2.314815,2.333333,2.259259,2.296296,35996400,2.2699073499999995
1995-05-10,2.305556,2.333333,2.268518,2.305556,22288000,2.26990735
1995-05-11,2.296296,2.37963,2.277778,2.37963,38153200,2.27037035
1995-05-12,2.37037,2.462963,2.361111,2.407408,72420000,2.27222225
1995-05-15,2.435185,2.527778,2.407408,2.513889,56471200,2.28240745
1995-05-16,2.518518,2.592592,2.509259,2.541667,88011600,2.2951389499999997
1995-05-17,2.564815,2.601852,2.546296,2.555556,48359200,2.3108797
1995-05-18,2.555556,2.564815,2.472222,2.472222,37798000,2.3238426500000005
1995-05-19,2.453704,2.518518,2.444444,2.518518,31640800,2.3386574500000004
1995-05-22,2.546296,2.546296,2.472222,2.490741,35697600,2.3504630000000004
1995-05-23,2.5,2.583333,2.486111,2.583333,34003600,2.36944445
1995-05-24,2.712963,2.796296,2.694444,2.787037,121257600,2.4013888999999997
1995-05-25,2.805556,2.851852,2.703704,2.740741,56305600,2.4226852
1995-05-26,2.740741,2.740741,2.648148,2.675926,33050400,2.44351855
1995-05-30,2.685185,2.685185,2.537037,2.537037,64638400,2.4590278
1995-05-31,2.546296,2.583333,2.453704,2.574074,49482400,2.47731485
1995-06-01,2.592592,2.657408,2.592592,2.638889,38858800,2.4925926499999997
1995-06-02,2.62963,2.694444,2.555556,2.666667,41282800,2.5120370999999997
1995-06-05,2.740741,2.740741,2.611111,2.638889,43310400,2.53055565
1995-06-06,2.638889,2.648148,2.518518,2.574074,33982800,2.5449075
1995-06-07,2.592592,2.638889,2.564815,2.611111,30613200,2.5606482500000003
1995-06-08,2.62963,2.657408,2.611111,2.638889,19054800,2.5773149
1995-06-09,2.638889,2.731482,2.601852,2.722222,37538800,2.5944445000000003
1995-06-12,2.759259,2.805556,2.694444,2.759259,41046000,2.61203705
1995-06-13,2.796296,2.805556,2.722222,2.768518,43446400,2.6247685
1995-06-14,2.768518,2.777778,2.731482,2.768518,30049200,2.6361110500000002
1995-06-15,2.768518,2.805556,2.740741,2.768518,19678000,2.6467591500000003
1995-06-16,2.796296,2.805556,2.740741,2.787037,26305600,2.6624999
1995-06-19,2.805556,2.898148,2.796296,2.861111,39504400,2.67962955
1995-06-20,2.87963,2.916667,2.833333,2.888889,41228800,2.6995369499999997
1995-06-21,2.935185,2.944444,2.833333,2.87963,47905600,2.7143518
1995-06-22,2.907408,3.0,2.888889,2.972222,71226400,2.72361105
1995-06-23,2.962963,2.981482,2.824074,2.907408,78650800,2.7319444
1995-06-26,2.907408,2.925926,2.777778,2.824074,40346800,2.7393518
1995-06-27,2.805556,2.888889,2.777778,2.796296,36228400,2.75231475
1995-06-28,2.787037,2.851852,2.722222,2.791667,42115200,2.7631943999999997
1995-06-29,2.805556,2.888889,2.777778,2.861111,42813600,2.7743054999999996
1995-06-30,2.87037,2.916667,2.833333,2.861111,27302400,2.7840277
1995-07-03,2.87037,2.925926,2.851852,2.898148,12094000,2.7969906499999997
1995-07-05,2.907408,2.944444,2.861111,2.87037,38658400,2.81180545
1995-07-06,2.87963,2.925926,2.833333,2.916667,39179200,2.8270832500000003
1995-07-07,2.907408,3.0,2.907408,2.990741,52280800,2.8446758500000002
1995-07-10,3.0,3.074074,2.990741,3.018518,36128400,2.85949065
1995-07-11,3.018518,3.018518,2.888889,2.888889,36520000,2.86597215
1995-07-12,2.925926,3.046296,2.916667,3.027778,36703600,2.8789351499999998
1995-07-13,3.027778,3.12037,2.972222,3.018518,32470000,2.89143515
1995-07-14,2.990741,3.037037,2.944444,3.023148,29300800,2.9041666499999996
1995-07-17,3.046296,3.12963,3.037037,3.12963,41150400,2.9212963
1995-07-18,3.12963,3.12963,2.962963,2.972222,53179200,2.92685185
1995-07-19,2.814815,2.953704,2.703704,2.833333,98179600,2.92407405
1995-07-20,2.833333,2.87037,2.796296,2.842592,55798000,2.92222215
1995-07-21,2.814815,2.898148,2.814815,2.847222,31044400,2.91597215
1995-07-24,2.87037,2.916667,2.842592,2.902778,27229200,2.91574065
1995-07-25,2.944444,3.018518,2.907408,2.981482,43365600,2.92361105
1995-07-26,3.018518,3.12963,3.0,3.12963,49709200,2.94027775
1995-07-27,3.148148,3.259259,3.138889,3.212963,40500400,2.96134255
1995-07-28,3.203704,3.203704,3.111111,3.12037,28096000,2.9743055000000003
1995-07-31,3.12963,3.12963,3.055556,3.101852,17105200,2.9863425500000003
1995-08-01,3.111111,3.111111,2.953704,3.009259,30454000,2.9918981000000002
1995-08-02,3.046296,3.12963,2.907408,2.935185,48919200,2.99513885
1995-08-03,2.87037,2.935185,2.798607,2.912037,71761200,2.9949073499999996
1995-08-04,2.907408,3.0,2.888889,2.990741,22397200,2.9949073499999996
1995-08-07,2.990741,3.055556,2.972222,2.986111,15670800,2.9932869999999996
